root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Glut_clusters,Oct_clusters,Ser_clusters,DA_clusters,Unknown_clusters
720575940622202858,cell_class,mechanosensory,1535,400,0.25,0.14285714285714285,0.1,0.07166123778501629,0.8612377850162867,0.021498371335504887,0.0006514657980456026,0.03452768729641694,0.009771986970684038,0.0006514657980456026,False,True,False,,False,False,
720575940622202858,cell_class,mechanosensory,1535,400,0.25,0.04,0.01,0.07166123778501629,0.8612377850162867,0.021498371335504887,0.0006514657980456026,0.03452768729641694,0.009771986970684038,0.0006514657980456026,True,True,False,,False,False,
720575940622202858,cell_class,mechanosensory,1535,400,0.25,0.04,0.05,0.07166123778501629,0.8612377850162867,0.021498371335504887,0.0006514657980456026,0.03452768729641694,0.009771986970684038,0.0006514657980456026,False,True,False,,False,False,
720575940622202858,cell_class,mechanosensory,1535,400,0.25,0.04,0.1,0.07166123778501629,0.8612377850162867,0.021498371335504887,0.0006514657980456026,0.03452768729641694,0.009771986970684038,0.0006514657980456026,False,True,False,,False,False,
720575940622202858,cell_class,mechanosensory,1535,400,0.25,0.02,0.01,0.07166123778501629,0.8612377850162867,0.021498371335504887,0.0006514657980456026,0.03452768729641694,0.009771986970684038,0.0006514657980456026,False,True,False,,False,False,
720575940622202858,cell_class,mechanosensory,1535,400,0.25,0.02,0.05,0.07166123778501629,0.8612377850162867,0.021498371335504887,0.0006514657980456026,0.03452768729641694,0.009771986970684038,0.0006514657980456026,False,True,False,,False,False,
720575940622202858,cell_class,mechanosensory,1535,400,0.25,0.02,0.1,0.07166123778501629,0.8612377850162867,0.021498371335504887,0.0006514657980456026,0.03452768729641694,0.009771986970684038,0.0006514657980456026,False,False,False,,False,False,
720575940622202858,cell_class,mechanosensory,1535,400,0.25,0.01,0.01,0.07166123778501629,0.8612377850162867,0.021498371335504887,0.0006514657980456026,0.03452768729641694,0.009771986970684038,0.0006514657980456026,False,True,False,,False,False,
720575940622202858,cell_class,mechanosensory,1535,400,0.25,0.01,0.05,0.07166123778501629,0.8612377850162867,0.021498371335504887,0.0006514657980456026,0.03452768729641694,0.009771986970684038,0.0006514657980456026,False,False,False,,False,False,
720575940622202858,cell_class,mechanosensory,1535,400,0.25,0.01,0.1,0.07166123778501629,0.8612377850162867,0.021498371335504887,0.0006514657980456026,0.03452768729641694,0.009771986970684038,0.0006514657980456026,False,False,False,,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.14285714285714285,0.01,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,True,True,True,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.14285714285714285,0.05,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,True,False,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.14285714285714285,0.1,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,True,False,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.04,0.01,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,True,True,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.04,0.05,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,True,False,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.04,0.1,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,True,False,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.02,0.01,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,True,False,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.02,0.05,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,True,False,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.02,0.1,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,False,False,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.01,0.01,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,True,False,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.01,0.05,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,False,False,False,False,False,
720575940638243645,cell_class,mechanosensory,1379,400,0.25,0.01,0.1,0.04713560551124003,0.8585931834662799,0.05293691080493111,0.0014503263234227702,0.025380710659898477,0.013778100072516316,0.0007251631617113851,False,False,False,False,False,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.14285714285714285,0.01,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,True,True,True,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.14285714285714285,0.05,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,True,False,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.14285714285714285,0.1,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,True,False,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.04,0.01,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,True,True,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.04,0.05,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,True,False,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.04,0.1,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,True,False,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.02,0.01,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,True,True,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.02,0.05,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,True,False,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.02,0.1,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,False,False,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.01,0.01,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,True,True,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.01,0.05,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,False,False,False,,False,
720575940621431247,cell_class,mechanosensory,1521,400,0.25,0.01,0.1,0.032215647600262985,0.7915844838921762,0.14398422090729784,0.01972386587771203,0.0006574621959237344,0.011176857330703484,0.0006574621959237344,False,False,False,False,,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.14285714285714285,0.01,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,True,True,True,False,True,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.14285714285714285,0.05,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,True,True,False,False,False,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.14285714285714285,0.1,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,False,True,False,False,False,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.04,0.01,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,True,True,True,False,False,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.04,0.05,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,False,True,False,False,False,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.04,0.1,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,False,True,False,False,False,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.02,0.01,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,True,True,False,False,False,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.02,0.05,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,False,True,False,False,False,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.02,0.1,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,False,False,False,False,False,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.01,0.01,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,True,True,False,False,False,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.01,0.05,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,False,False,False,False,False,False,
720575940611684787,cell_class,mechanosensory,1183,400,0.25,0.01,0.1,0.11665257819103973,0.7819103972950127,0.05409974640743871,0.0076077768385460695,0.032121724429416736,0.0076077768385460695,0.0,False,False,False,False,False,False,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.14285714285714285,0.01,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,True,True,True,True,True,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.14285714285714285,0.05,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,True,False,False,True,True,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.14285714285714285,0.1,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,True,False,False,False,False,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.04,0.01,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,True,True,True,True,True,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.04,0.05,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,True,False,False,False,False,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.04,0.1,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,False,False,False,False,False,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.02,0.01,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,True,True,True,True,True,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.02,0.05,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,True,False,False,False,False,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.02,0.1,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,False,False,False,False,False,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.01,0.01,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,True,True,True,True,True,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.01,0.05,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,False,False,False,False,False,
720575940618255936,cell_class,mechanosensory,431,400,0.25,0.01,0.1,0.004640371229698376,0.6635730858468677,0.0765661252900232,0.02088167053364269,0.1136890951276102,0.12064965197215777,0.0,False,False,False,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.14285714285714285,0.01,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,True,True,True,False,False,True,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.14285714285714285,0.05,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,False,True,True,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.14285714285714285,0.1,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,False,True,False,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.04,0.01,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,True,True,True,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.04,0.05,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,False,True,False,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.04,0.1,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,False,False,False,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.02,0.01,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,True,True,True,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.02,0.05,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,False,True,False,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.02,0.1,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,False,False,False,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.01,0.01,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,False,True,True,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.01,0.05,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,False,False,False,False,False,False,
720575940613803293,cell_class,mechanosensory,1186,400,0.25,0.01,0.1,0.12478920741989882,0.6703204047217538,0.163575042158516,0.003372681281618887,0.016020236087689713,0.021922428330522766,0.0,False,False,False,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.14285714285714285,0.01,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,True,True,True,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.14285714285714285,0.05,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,True,False,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.14285714285714285,0.1,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,True,False,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.04,0.01,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,True,True,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.04,0.05,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,True,False,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.04,0.1,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,False,False,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.02,0.01,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,True,True,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.02,0.05,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,True,False,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.02,0.1,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,False,False,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.01,0.01,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,True,True,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.01,0.05,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,False,False,False,False,False,
720575940631191367,cell_class,mechanosensory,1132,400,0.25,0.01,0.1,0.0353356890459364,0.8162544169611308,0.10247349823321555,0.0035335689045936395,0.029151943462897525,0.012367491166077738,0.0008833922261484099,False,False,False,False,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.14285714285714285,0.01,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,True,True,True,,True,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.14285714285714285,0.05,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,False,True,False,,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.14285714285714285,0.1,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,False,True,False,,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.04,0.01,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,True,True,True,,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.04,0.05,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,False,True,False,,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.04,0.1,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,False,True,False,,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.02,0.01,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,True,True,True,,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.02,0.05,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,False,True,False,,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.02,0.1,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,False,True,False,,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.01,0.01,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,True,True,False,,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.01,0.05,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,False,True,False,,False,False,
720575940628160617,cell_class,mechanosensory,860,400,0.25,0.01,0.1,0.06744186046511629,0.8709302325581395,0.03372093023255814,0.0,0.020930232558139535,0.0069767441860465115,0.0,False,True,False,,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.14285714285714285,0.01,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,True,True,True,False,True,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.14285714285714285,0.05,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,True,False,False,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.14285714285714285,0.1,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,True,False,False,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.04,0.01,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,True,True,False,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.04,0.05,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,True,False,False,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.04,0.1,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,False,False,False,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.02,0.01,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,True,False,False,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.02,0.05,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,True,False,False,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.02,0.1,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,False,False,False,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.01,0.01,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,True,False,False,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.01,0.05,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,False,False,False,False,False,
720575940636410869,cell_class,mechanosensory,1148,400,0.25,0.01,0.1,0.046167247386759584,0.8588850174216028,0.041811846689895474,0.003484320557491289,0.04529616724738676,0.004355400696864111,0.0,False,False,False,False,False,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.14285714285714285,0.01,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,True,True,False,False,True,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.14285714285714285,0.05,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,True,False,False,False,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.14285714285714285,0.1,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,True,False,False,False,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.04,0.01,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,True,False,False,True,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.04,0.05,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,True,False,False,False,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.04,0.1,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,True,False,False,False,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.02,0.01,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,True,False,False,True,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.02,0.05,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,True,False,False,False,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.02,0.1,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,True,False,False,False,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.01,0.01,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,True,False,False,False,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.01,0.05,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,True,False,False,False,False,
720575940614830604,cell_class,mechanosensory,880,400,0.25,0.01,0.1,0.0375,0.8795454545454545,0.029545454545454545,0.003409090909090909,0.03977272727272727,0.010227272727272727,0.0,False,False,False,False,False,False,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.14285714285714285,0.01,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,True,True,True,False,,True,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.14285714285714285,0.05,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,False,True,False,False,,False,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.14285714285714285,0.1,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,False,True,False,False,,False,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.04,0.01,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,True,True,True,False,,True,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.04,0.05,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,False,True,False,False,,False,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.04,0.1,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,False,True,False,False,,False,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.02,0.01,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,False,True,False,False,,True,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.02,0.05,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,False,True,False,False,,False,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.02,0.1,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,False,False,False,False,,False,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.01,0.01,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,False,True,False,False,,True,
720575940612235439,cell_class,mechanosensory,625,400,0.25,0.01,0.05,0.048,0.8848,0.0304,0.0064,0.0016,0.0288,0.0,False,False,False,False,,False,
