root_id,classification_system,cell_type,num_synapses,softmax_threshold,ratio_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA,ACh,Glut,Oct,Ser,DA,Unknown
720575940624407944,cell_type,DNp36,3648,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,False,True,False
720575940630992813,cell_type,DNp36,3729,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,False,True,False
720575940604103084,cell_type,DNp33,948,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940633165452,cell_type,DNp33,673,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940620156283,cell_type,DNp30,11871,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940633228103,cell_type,DNp30,14048,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940632422219,cell_type,DNp38,4921,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940630236988,cell_type,DNp38,4982,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940617750070,cell_type,DNp39,3052,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940612557994,cell_type,DNp39,3185,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940613170498,cell_type,DNp37,2372,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940627496829,cell_type,DNp37,2543,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940628437291,cell_type,DNp35,12591,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940623276168,cell_type,DNp35,12493,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,False,True,False
